Zona,Lula (%),Lula (votos),Bolsonaro (%),Bolsonaro (votos),Tebet (%),Tebet (votos)
1,56.46,60683,29.6,31814,8.1,8709
2,46.39,67566,35.33,51459,11.9,17327
3,48.63,26535,39.5,21556,6.02,3284
4,34.69,41687,48.84,58681,9.52,11440
5,35.79,33049,41.95,38733,15.58,14383
6,41.3,51419,38.81,48314,12.62,15715
20,60.91,74925,27.93,34351,5.4,6638
246,33.6,30101,44.85,40172,13.47,12065
247,48.39,39085,39.07,31562,6.51,5262
248,49.1,57472,38.03,44510,6.52,7632
249,33.47,27701,48.73,40331,10.5,8694
250,38.11,48650,43.14,55071,11.4,14548
251,46.75,41103,32.72,28763,14.11,12405
252,39.08,32319,45.0,37223,8.57,7089
253,34.14,57144,48.98,81986,9.61,16094
254,38.92,44036,47.41,53637,7.51,8498
255,41.99,58300,42.46,58951,8.94,12408
256,41.16,53329,44.43,57564,7.85,10169
257,37.48,49343,46.61,61361,9.03,11884
258,31.41,44626,46.27,65737,14.76,20964
259,37.24,43882,39.95,47078,14.8,17435
260,45.28,60824,39.7,53333,8.54,11467
280,48.11,62264,37.16,48095,8.05,10414
320,47.88,65675,35.95,49307,9.02,12371
325,40.59,30381,43.1,32262,9.13,6830
326,48.71,39638,39.55,32183,6.0,4886
327,42.88,37555,41.81,36616,8.67,7593
328,53.95,72614,32.94,44340,6.63,8924
346,40.81,44473,40.48,44114,11.7,12749
347,41.12,53565,43.86,57138,8.17,10640
348,34.97,26682,49.32,37638,8.87,6766
349,43.01,41176,42.67,40854,7.83,7500
350,43.66,44006,42.93,43274,7.23,7290
351,50.68,49835,35.04,34454,7.76,7626
352,52.54,81511,36.39,56459,5.67,8799
353,55.83,76019,33.53,45653,5.2,7084
371,61.77,93576,27.37,41468,5.37,8141
372,62.16,131030,26.94,56792,5.27,11107
373,57.27,56650,30.47,30144,6.09,6024
374,50.14,96284,34.66,66564,8.61,16540
375,54.25,103125,34.74,66037,5.53,10506
376,52.99,96397,34.99,63641,6.41,11664
381,60.39,108864,28.52,51407,5.4,9730
389,55.04,82812,33.76,50796,5.86,8820
390,44.16,39736,42.02,37812,7.37,6628
392,45.12,42934,40.8,38825,7.53,7167
397,52.81,62615,36.54,43329,5.42,6425
398,49.31,37217,38.9,29361,5.88,4439
403,50.21,42308,36.59,30831,7.16,6033
404,60.77,88478,28.9,42085,5.09,7406
405,52.52,42375,33.97,27404,7.1,5729
408,54.5,69486,31.75,40477,7.38,9407
413,44.98,51499,39.01,44665,9.15,10474
417,47.52,44586,38.83,36431,7.1,6658
418,53.07,77028,33.37,48437,7.04,10217
420,39.7,35002,46.36,40873,7.71,6794
421,52.77,57642,36.27,39623,5.66,6178
422,42.92,47502,42.41,46939,8.19,9066
