ESTADO,MUNICíPIO,NOME DO CANDIDATO,PARTIDO,VOTOS,VOTOS PERCENTUAL
AC,Acrelândia,Gladson Cameli,PP,3113,45.96
AC,Acrelândia,Mara Rocha,MDB,2166,31.98
AC,Acrelândia,Jorge Viana,PT,984,14.53
AC,Acrelândia,Petecão,PSD,423,6.24
AC,Acrelândia,Marcio Bittar,UNIÃO,76,1.12
AC,Acrelândia,David Hall,AGIR,9,0.13
AC,Acrelândia,Professor Nilson,PSOL,3,0.04
AC,Assis Brasil,Gladson Cameli,PP,2927,64.79
AC,Assis Brasil,Jorge Viana,PT,1237,27.38
AC,Assis Brasil,Mara Rocha,MDB,184,4.07
AC,Assis Brasil,Petecão,PSD,143,3.17
AC,Assis Brasil,Marcio Bittar,UNIÃO,25,0.55
AC,Assis Brasil,David Hall,AGIR,2,0.04
AC,Assis Brasil,Professor Nilson,PSOL,0,0.0
AC,Brasiléia,Gladson Cameli,PP,7039,51.9
AC,Brasiléia,Jorge Viana,PT,3862,28.47
AC,Brasiléia,Mara Rocha,MDB,1769,13.04
AC,Brasiléia,Petecão,PSD,735,5.42
AC,Brasiléia,Marcio Bittar,UNIÃO,145,1.07
AC,Brasiléia,Professor Nilson,PSOL,8,0.06
AC,Brasiléia,David Hall,AGIR,5,0.04
AC,Bujari,Gladson Cameli,PP,4049,57.6
AC,Bujari,Jorge Viana,PT,1670,23.76
AC,Bujari,Mara Rocha,MDB,946,13.46
AC,Bujari,Petecão,PSD,264,3.76
AC,Bujari,Marcio Bittar,UNIÃO,80,1.14
AC,Bujari,Professor Nilson,PSOL,12,0.17
AC,Bujari,David Hall,AGIR,8,0.11
AC,Capixaba,Gladson Cameli,PP,3298,56.92
AC,Capixaba,Jorge Viana,PT,1389,23.97
AC,Capixaba,Mara Rocha,MDB,716,12.36
AC,Capixaba,Petecão,PSD,313,5.4
AC,Capixaba,Marcio Bittar,UNIÃO,75,1.29
AC,Capixaba,David Hall,AGIR,3,0.05
AC,Capixaba,Professor Nilson,PSOL,0,0.0
AC,Cruzeiro do Sul,Gladson Cameli,PP,30186,69.28
AC,Cruzeiro do Sul,Jorge Viana,PT,6850,15.72
AC,Cruzeiro do Sul,Mara Rocha,MDB,3996,9.17
AC,Cruzeiro do Sul,Petecão,PSD,2001,4.59
AC,Cruzeiro do Sul,Marcio Bittar,UNIÃO,471,1.08
AC,Cruzeiro do Sul,Professor Nilson,PSOL,44,0.1
AC,Cruzeiro do Sul,David Hall,AGIR,20,0.05
AC,Epitaciolândia,Gladson Cameli,PP,4033,44.8
AC,Epitaciolândia,Mara Rocha,MDB,2147,23.85
AC,Epitaciolândia,Jorge Viana,PT,2038,22.64
AC,Epitaciolândia,Petecão,PSD,663,7.36
AC,Epitaciolândia,Marcio Bittar,UNIÃO,115,1.28
AC,Epitaciolândia,Professor Nilson,PSOL,4,0.04
AC,Epitaciolândia,David Hall,AGIR,3,0.03
AC,Feijó,Gladson Cameli,PP,6843,46.2
AC,Feijó,Jorge Viana,PT,6733,45.46
AC,Feijó,Mara Rocha,MDB,542,3.66
AC,Feijó,Petecão,PSD,542,3.66
AC,Feijó,Marcio Bittar,UNIÃO,92,0.62
AC,Feijó,Professor Nilson,PSOL,56,0.38
AC,Feijó,David Hall,AGIR,4,0.03
AC,Jordão,Jorge Viana,PT,1696,43.59
AC,Jordão,Gladson Cameli,PP,1590,40.86
AC,Jordão,Petecão,PSD,546,14.03
AC,Jordão,Mara Rocha,MDB,47,1.21
AC,Jordão,Marcio Bittar,UNIÃO,7,0.18
