E2018,E2022,CPF
PATRIOTA,(NC),1859
PODE,(NC),1595
PC do B,(NC),1230
(NC),PL,1130
(NC),PTB,1102
(NC),PDT,1050
(NC),UNIÃO,1049
PSL,(NC),1048
(NC),REPUBLICANOS,1032
PSOL,(NC),1018
(NC),PATRIOTA,1014
(NC),PSB,1000
(NC),MDB,997
(NC),PP,980
(NC),PODE,930
PROS,(NC),921
PT,(NC),901
AVANTE,(NC),876
(NC),SOLIDARIEDADE,874
(NC),PSC,858
(NC),AVANTE,846
(NC),PSD,841
PRTB,(NC),826
MDB,(NC),795
(NC),PROS,790
(NC),AGIR,788
(NC),PRTB,770
PV,(NC),752
REDE,(NC),713
AGIR,(NC),710
(NC),PMB,695
(NC),PT,694
PDT,(NC),693
(NC),PMN,686
(NC),DC,680
(NC),PSDB,676
DC,(NC),673
PSDB,(NC),673
PSB,(NC),668
PSC,(NC),666
PMN,(NC),666
REPUBLICANOS,(NC),654
(NC),PSOL,642
SOLIDARIEDADE,(NC),630
CIDADANIA,(NC),553
PP,(NC),519
PL,(NC),506
DEM,(NC),501
PSD,(NC),481
PTB,(NC),481
(NC),NOVO,404
(NC),REDE,400
PMB,(NC),398
(NC),CIDADANIA,365
NOVO,(NC),309
(NC),PV,219
PSTU,(NC),149
(NC),PC do B,143
(NC),PCO,124
PCO,(NC),101
(NC),PSTU,91
PCB,(NC),78
(NC),PCB,73
(NC),UP,59
