ESTADO,MUNICíPIO,NOME DO CANDIDATO,PARTIDO,VOTOS,VOTOS PERCENTUAL
SP,Adamantina,Tarcísio,REPUBLICANOS,10521,65.74
SP,Adamantina,Fernando Haddad,PT,2980,18.62
SP,Adamantina,Rodrigo Garcia,PSDB,2214,13.83
SP,Adamantina,Vinicius Poit,NOVO,132,0.82
SP,Adamantina,Elvis Cezar,PDT,95,0.59
SP,Adamantina,Carol Vigliar,UP,23,0.14
SP,Adamantina,Gabriel Colombo,PCB,22,0.14
SP,Adamantina,Altino,PSTU,7,0.04
SP,Adamantina,Edson Dorta,PCO,5,0.03
SP,Adamantina,Antonio Jorge,DC,4,0.02
SP,Adolfo,Tarcísio,REPUBLICANOS,1353,46.82
SP,Adolfo,Rodrigo Garcia,PSDB,956,33.08
SP,Adolfo,Fernando Haddad,PT,561,19.41
SP,Adolfo,Elvis Cezar,PDT,12,0.42
SP,Adolfo,Vinicius Poit,NOVO,5,0.17
SP,Adolfo,Carol Vigliar,UP,2,0.07
SP,Adolfo,Gabriel Colombo,PCB,1,0.03
SP,Adolfo,Edson Dorta,PCO,0,0.0
SP,Adolfo,Altino,PSTU,0,0.0
SP,Adolfo,Antonio Jorge,DC,0,0.0
SP,Aguaí,Tarcísio,REPUBLICANOS,4909,45.84
SP,Aguaí,Fernando Haddad,PT,3075,28.71
SP,Aguaí,Rodrigo Garcia,PSDB,2543,23.74
SP,Aguaí,Vinicius Poit,NOVO,72,0.67
SP,Aguaí,Elvis Cezar,PDT,59,0.55
SP,Aguaí,Gabriel Colombo,PCB,24,0.22
SP,Aguaí,Carol Vigliar,UP,22,0.21
SP,Aguaí,Altino,PSTU,3,0.03
SP,Aguaí,Edson Dorta,PCO,2,0.02
SP,Aguaí,Antonio Jorge,DC,1,0.01
SP,Águas da Prata,Tarcísio,REPUBLICANOS,2034,48.31
SP,Águas da Prata,Fernando Haddad,PT,1226,29.12
SP,Águas da Prata,Rodrigo Garcia,PSDB,875,20.78
SP,Águas da Prata,Vinicius Poit,NOVO,30,0.71
SP,Águas da Prata,Elvis Cezar,PDT,25,0.59
SP,Águas da Prata,Gabriel Colombo,PCB,10,0.24
SP,Águas da Prata,Carol Vigliar,UP,5,0.12
SP,Águas da Prata,Altino,PSTU,4,0.1
SP,Águas da Prata,Antonio Jorge,DC,1,0.02
SP,Águas da Prata,Edson Dorta,PCO,0,0.0
SP,Águas de Lindóia,Tarcísio,REPUBLICANOS,5720,57.75
SP,Águas de Lindóia,Fernando Haddad,PT,2113,21.33
SP,Águas de Lindóia,Rodrigo Garcia,PSDB,1869,18.87
SP,Águas de Lindóia,Vinicius Poit,NOVO,115,1.16
SP,Águas de Lindóia,Elvis Cezar,PDT,58,0.59
SP,Águas de Lindóia,Carol Vigliar,UP,17,0.17
SP,Águas de Lindóia,Gabriel Colombo,PCB,9,0.09
SP,Águas de Lindóia,Antonio Jorge,DC,2,0.02
SP,Águas de Lindóia,Edson Dorta,PCO,1,0.01
SP,Águas de Lindóia,Altino,PSTU,1,0.01
SP,Águas de Santa Bárbara,Tarcísio,REPUBLICANOS,1905,56.76
SP,Águas de Santa Bárbara,Fernando Haddad,PT,866,25.8
SP,Águas de Santa Bárbara,Rodrigo Garcia,PSDB,504,15.02
SP,Águas de Santa Bárbara,Vinicius Poit,NOVO,31,0.92
SP,Águas de Santa Bárbara,Elvis Cezar,PDT,28,0.83
SP,Águas de Santa Bárbara,Carol Vigliar,UP,10,0.3
SP,Águas de Santa Bárbara,Gabriel Colombo,PCB,10,0.3
SP,Águas de Santa Bárbara,Altino,PSTU,1,0.03
SP,Águas de Santa Bárbara,Edson Dorta,PCO,1,0.03
SP,Águas de Santa Bárbara,Antonio Jorge,DC,0,0.0
SP,Águas de São Pedro,Tarcísio,REPUBLICANOS,1529,51.97
SP,Águas de São Pedro,Fernando Haddad,PT,724,24.61
SP,Águas de São Pedro,Rodrigo Garcia,PSDB,628,21.35
SP,Águas de São Pedro,Vinicius Poit,NOVO,31,1.05
SP,Águas de São Pedro,Elvis Cezar,PDT,12,0.41
SP,Águas de São Pedro,Gabriel Colombo,PCB,7,0.24
SP,Águas de São Pedro,Carol Vigliar,UP,5,0.17
SP,Águas de São Pedro,Altino,PSTU,3,0.1
SP,Águas de São Pedro,Edson Dorta,PCO,2,0.07
SP,Águas de São Pedro,Antonio Jorge,DC,1,0.03
SP,Agudos,Tarcísio,REPUBLICANOS,9896,49.0
SP,Agudos,Rodrigo Garcia,PSDB,5508,27.28
SP,Agudos,Fernando Haddad,PT,4377,21.67
SP,Agudos,Vinicius Poit,NOVO,219,1.08
SP,Agudos,Elvis Cezar,PDT,122,0.6
SP,Agudos,Carol Vigliar,UP,38,0.19
SP,Agudos,Gabriel Colombo,PCB,25,0.12
SP,Agudos,Altino,PSTU,5,0.02
SP,Agudos,Antonio Jorge,DC,4,0.02
SP,Agudos,Edson Dorta,PCO,0,0.0
SP,Alambari,Tarcísio,REPUBLICANOS,1538,43.56
SP,Alambari,Rodrigo Garcia,PSDB,1158,32.8
SP,Alambari,Fernando Haddad,PT,810,22.94
SP,Alambari,Elvis Cezar,PDT,13,0.37
SP,Alambari,Vinicius Poit,NOVO,10,0.28
SP,Alambari,Gabriel Colombo,PCB,2,0.06
SP,Alambari,Antonio Jorge,DC,0,0.0
SP,Alambari,Carol Vigliar,UP,0,0.0
SP,Alambari,Edson Dorta,PCO,0,0.0
SP,Alambari,Altino,PSTU,0,0.0
SP,Alfredo Marcondes,Tarcísio,REPUBLICANOS,1468,50.46
SP,Alfredo Marcondes,Fernando Haddad,PT,888,30.53
SP,Alfredo Marcondes,Rodrigo Garcia,PSDB,536,18.43
SP,Alfredo Marcondes,Elvis Cezar,PDT,10,0.34
SP,Alfredo Marcondes,Vinicius Poit,NOVO,6,0.21
SP,Alfredo Marcondes,Altino,PSTU,1,0.03
SP,Alfredo Marcondes,Gabriel Colombo,PCB,0,0.0
SP,Alfredo Marcondes,Antonio Jorge,DC,0,0.0
SP,Alfredo Marcondes,Edson Dorta,PCO,0,0.0
SP,Alfredo Marcondes,Carol Vigliar,UP,0,0.0
SP,Altinópolis,Tarcísio,REPUBLICANOS,3088,36.72
SP,Altinópolis,Fernando Haddad,PT,2726,32.41
SP,Altinópolis,Rodrigo Garcia,PSDB,2456,29.2
SP,Altinópolis,Elvis Cezar,PDT,67,0.8
SP,Altinópolis,Vinicius Poit,NOVO,56,0.67
SP,Altinópolis,Gabriel Colombo,PCB,9,0.11
SP,Altinópolis,Carol Vigliar,UP,5,0.06
SP,Altinópolis,Altino,PSTU,2,0.02
SP,Altinópolis,Edson Dorta,PCO,1,0.01
SP,Altinópolis,Antonio Jorge,DC,0,0.0
SP,Alto Alegre,Tarcísio,REPUBLICANOS,1410,57.5
SP,Alto Alegre,Fernando Haddad,PT,626,25.53
SP,Alto Alegre,Rodrigo Garcia,PSDB,397,16.19
SP,Alto Alegre,Vinicius Poit,NOVO,11,0.45
SP,Alto Alegre,Elvis Cezar,PDT,5,0.2
SP,Alto Alegre,Edson Dorta,PCO,1,0.04
SP,Alto Alegre,Carol Vigliar,UP,1,0.04
SP,Alto Alegre,Gabriel Colombo,PCB,1,0.04
SP,Alto Alegre,Altino,PSTU,0,0.0
SP,Alto Alegre,Antonio Jorge,DC,0,0.0
SP,Alumínio,Tarcísio,REPUBLICANOS,4047,41.18
SP,Alumínio,Fernando Haddad,PT,3445,35.05
SP,Alumínio,Rodrigo Garcia,PSDB,2052,20.88
SP,Alumínio,Elvis Cezar,PDT,114,1.16
SP,Alumínio,Vinicius Poit,NOVO,79,0.8
SP,Alumínio,Carol Vigliar,UP,63,0.64
SP,Alumínio,Gabriel Colombo,PCB,19,0.19
SP,Alumínio,Antonio Jorge,DC,5,0.05
SP,Alumínio,Altino,PSTU,3,0.03
SP,Alumínio,Edson Dorta,PCO,1,0.01
SP,Álvares Florence,Tarcísio,REPUBLICANOS,1291,49.43
SP,Álvares Florence,Rodrigo Garcia,PSDB,731,27.99
SP,Álvares Florence,Fernando Haddad,PT,569,21.78
SP,Álvares Florence,Vinicius Poit,NOVO,9,0.34
SP,Álvares Florence,Gabriel Colombo,PCB,5,0.19
SP,Álvares Florence,Elvis Cezar,PDT,4,0.15
SP,Álvares Florence,Carol Vigliar,UP,2,0.08
SP,Álvares Florence,Altino,PSTU,1,0.04
SP,Álvares Florence,Edson Dorta,PCO,0,0.0
SP,Álvares Florence,Antonio Jorge,DC,0,0.0
SP,Álvares Machado,Tarcísio,REPUBLICANOS,5731,44.28
SP,Álvares Machado,Rodrigo Garcia,PSDB,3763,29.08
SP,Álvares Machado,Fernando Haddad,PT,3308,25.56
SP,Álvares Machado,Vinicius Poit,NOVO,59,0.46
SP,Álvares Machado,Elvis Cezar,PDT,42,0.32
SP,Álvares Machado,Carol Vigliar,UP,23,0.18
SP,Álvares Machado,Gabriel Colombo,PCB,9,0.07
SP,Álvares Machado,Edson Dorta,PCO,3,0.02
