E2018,E2022,CPF
PT,PT,339
PSOL,PSOL,251
MDB,MDB,181
PP,PP,134
PDT,PDT,133
PSB,PSB,132
PRB,REPUBLICANOS,121
PSDB,PSDB,117
PSL,PL,116
PSD,PSD,102
PR,PL,96
DEM,UNIÃO,80
PSL,UNIÃO,73
PSC,PSC,67
NOVO,NOVO,62
PSTU,PSTU,60
SOLIDARIEDADE,SOLIDARIEDADE,58
PC do B,PC do B,57
REDE,REDE,44
PSL,PTB,44
PSL,REPUBLICANOS,42
DC,DC,41
AVANTE,AVANTE,40
PPS,CIDADANIA,40
PATRIOTA,PATRIOTA,39
PV,PV,39
PSL,PATRIOTA,35
PRTB,PRTB,34
PTB,PTB,34
PODE,PODE,30
PCO,PCO,29
PSL,PRTB,27
PSL,PP,26
PTB,UNIÃO,25
PSDB,UNIÃO,24
PROS,PROS,23
PROS,UNIÃO,23
MDB,REPUBLICANOS,21
PRP,PATRIOTA,21
PSDB,PSD,20
MDB,UNIÃO,20
DEM,PSDB,19
PMN,PMN,19
PP,PL,18
PHS,PODE,18
PDT,UNIÃO,18
PTC,AGIR,17
DEM,PL,17
PSL,PROS,16
PSDB,PL,16
AVANTE,PMN,16
PSDB,MDB,15
PSC,PL,15
PATRIOTA,PL,15
PSC,UNIÃO,15
PRP,REPUBLICANOS,15
PSB,PSD,14
PSL,PODE,14
PSL,PMB,14
PP,PSD,14
MDB,PSD,14
PRTB,PMN,14
PRTB,MDB,14
PHS,PL,14
PATRIOTA,REPUBLICANOS,14
PSD,MDB,14
PDT,REPUBLICANOS,13
PSD,PL,13
PDT,PSD,13
PSD,UNIÃO,13
PHS,REPUBLICANOS,13
PSL,PSC,13
AVANTE,SOLIDARIEDADE,13
PPS,UNIÃO,13
PR,PODE,13
PODE,PL,13
PATRIOTA,PTB,13
PR,UNIÃO,13
PATRIOTA,AGIR,12
PTB,PSD,12
DEM,PP,12
PSB,UNIÃO,12
SOLIDARIEDADE,MDB,12
PDT,PODE,12
PDT,PL,12
PTB,MDB,12
MDB,PP,11
PROS,PSD,11
PV,UNIÃO,11
PSDB,REPUBLICANOS,11
SOLIDARIEDADE,REPUBLICANOS,11
PSDB,PSC,11
PSD,PP,11
PRP,UNIÃO,11
PCB,PCB,11
PSOL,PT,11
PROS,MDB,11
AVANTE,REPUBLICANOS,11
PODE,REPUBLICANOS,11
PSB,REPUBLICANOS,11
PHS,PP,10
PODE,PP,10
PROS,PL,10
PC do B,PSB,10
PRB,SOLIDARIEDADE,10
PODE,PSC,10
PSD,AVANTE,10
PHS,UNIÃO,10
PTC,PSD,10
PSB,PP,10
PSB,PL,10
PRTB,UNIÃO,10
PSL,AGIR,10
PSL,PSD,10
PSOL,PDT,10
PTB,PODE,10
PTB,REPUBLICANOS,10
REDE,PSB,10
PTC,SOLIDARIEDADE,10
PRTB,PL,10
PATRIOTA,PSC,10
