Idade,Feminino,Masculino
20,2,0
21,17,21
22,22,19
23,25,30
24,32,35
25,45,48
26,40,53
27,56,68
28,69,76
29,60,91
30,55,102
31,78,113
32,81,128
33,101,139
34,124,213
35,111,198
36,133,230
37,146,251
38,154,275
39,196,319
40,175,376
41,216,375
42,227,383
43,205,372
44,199,402
45,188,412
46,217,402
47,213,433
48,210,426
49,193,405
50,224,459
51,186,340
52,190,371
53,195,377
54,204,359
55,164,368
56,174,370
57,158,335
58,156,353
59,112,317
60,114,260
61,105,217
62,92,237
63,70,180
64,62,190
65,56,185
66,59,150
67,35,135
68,33,108
69,33,93
70,29,89
71,21,80
72,26,52
73,14,58
74,15,47
75,9,34
76,6,33
77,7,19
78,9,24
79,4,17
80,2,14
81,8,13
82,0,9
83,2,5
85,0,3
86,1,2
87,0,1
88,1,0
89,1,0
90,0,1
92,0,1
96,0,1
