RANK,MUNICÍPIO,TOTAL,VENCEDOR,Tarcísio,Fernando Haddad,Rodrigo Garcia,Vinicius Poit,Elvis Cezar,Carol Vigliar,Gabriel Colombo,Altino,Antonio Jorge,Edson Dorta
1,Adamantina,18091,Tarcísio,11940,3337,2496,149,104,25,23,7,5,5
2,Adolfo,2890,Tarcísio,1353,561,956,5,12,2,1,0,0,0
3,Aguaí,15135,Tarcísio,6903,4396,3572,102,94,25,32,7,2,2
4,Agudos,20194,Tarcísio,9896,4377,5508,219,122,38,25,5,4,0
5,Alambari,3531,Tarcísio,1538,810,1158,10,13,0,2,0,0,0
6,Alfredo Marcondes,2909,Tarcísio,1468,888,536,6,10,0,0,1,0,0
7,Altair,2169,Rodrigo Garcia,727,586,844,6,4,2,0,0,0,0
8,Altinópolis,8410,Tarcísio,3088,2726,2456,56,67,5,9,2,0,1
9,Alto Alegre,2452,Tarcísio,1410,626,397,11,5,1,1,0,0,1
10,Alumínio,9828,Tarcísio,4047,3445,2052,79,114,63,19,3,5,1
11,Alvinlândia,1857,Tarcísio,753,631,460,4,6,0,1,1,1,0
12,Americana,126127,Tarcísio,71780,32746,17186,2127,1390,498,283,35,57,25
13,Amparo,36697,Tarcísio,19964,8751,7033,462,269,114,67,19,13,5
14,Américo Brasiliense,18793,Fernando Haddad,6330,8393,3722,136,129,45,24,8,5,1
15,Américo de Campos,3589,Tarcísio,1828,875,852,17,11,4,1,1,0,0
16,Analândia,2794,Tarcísio,1586,593,535,23,46,6,3,2,0,0
17,Andradina,29641,Tarcísio,15438,8372,5347,209,184,43,22,9,10,7
18,Angatuba,11999,Tarcísio,6114,4125,1583,78,57,23,7,6,5,1
19,Anhembi,3539,Tarcísio,1813,1019,654,19,25,4,4,0,1,0
20,Anhumas,2464,Tarcísio,966,685,803,2,6,1,0,1,0,0
21,Aparecida,20125,Tarcísio,10437,5296,3813,283,179,51,32,12,17,5
22,Aparecida D'Oeste,2743,Tarcísio,1051,903,777,5,5,0,1,0,0,1
23,Apiaí,12537,Fernando Haddad,4564,4676,3106,56,91,21,13,4,6,0
24,Aramina,3039,Tarcísio,1251,1049,692,21,17,5,3,0,0,1
25,Arandu,3725,Tarcísio,1847,1127,697,13,28,4,5,3,0,1
26,Arapeí,1693,Rodrigo Garcia,491,552,639,0,11,0,0,0,0,0
27,Araraquara,117255,Fernando Haddad,47331,50395,15708,2001,937,421,257,92,57,56
28,Araras,67630,Tarcísio,36517,15990,13320,918,458,218,135,29,26,19
29,Araçariguama,11174,Tarcísio,4572,3315,2510,75,642,36,13,8,2,1
30,Araçatuba,106402,Tarcísio,60654,23443,20194,1192,477,234,142,25,30,11
31,Araçoiaba da Serra,17256,Tarcísio,9235,4520,3088,182,143,54,26,5,3,0
32,Arco-Íris,1602,Tarcísio,658,307,623,9,2,0,0,1,0,2
33,Arealva,4217,Tarcísio,2323,1171,665,26,25,3,4,0,0,0
34,Areias,2453,Fernando Haddad,637,924,861,14,10,4,2,0,1,0
35,Areiópolis,5614,Tarcísio,2410,1751,1364,37,32,11,7,1,0,1
36,Ariranha,4636,Tarcísio,2106,1063,1413,21,19,5,5,2,0,2
37,Artur Nogueira,26903,Tarcísio,12942,7146,6360,212,149,57,22,6,7,2
