,Zona,Candidato_a,pct_a,votos_a,Candidato_b,pct_b,votos_b,Candidato_c,pct_c,votos_c
3,4, Jair Bolsonaro,48.84,58681, Lula,34.69,41687, Simone Tebet,9.52,11440
4,5, Jair Bolsonaro,41.95,38733, Lula,35.79,33049, Simone Tebet,15.58,14383
8,246, Jair Bolsonaro,44.85,40172, Lula,33.6,30101, Simone Tebet,13.47,12065
11,249, Jair Bolsonaro,48.73,40331, Lula,33.47,27701, Simone Tebet,10.5,8694
12,250, Jair Bolsonaro,43.14,55071, Lula,38.11,48650, Simone Tebet,11.4,14548
14,252, Jair Bolsonaro,45.0,37223, Lula,39.08,32319, Simone Tebet,8.57,7089
15,253, Jair Bolsonaro,48.98,81986, Lula,34.14,57144, Simone Tebet,9.61,16094
16,254, Jair Bolsonaro,47.41,53637, Lula,38.92,44036, Simone Tebet,7.51,8498
17,255, Jair Bolsonaro,42.46,58951, Lula,41.99,58300, Simone Tebet,8.94,12408
18,256, Jair Bolsonaro,44.43,57564, Lula,41.16,53329, Simone Tebet,7.85,10169
19,257, Jair Bolsonaro,46.61,61361, Lula,37.48,49343, Simone Tebet,9.03,11884
20,258, Jair Bolsonaro,46.27,65737, Lula,31.41,44626, Simone Tebet,14.76,20964
21,259, Jair Bolsonaro,39.95,47078, Lula,37.24,43882, Simone Tebet,14.8,17435
26,325, Jair Bolsonaro,43.1,32262, Lula,40.59,30381, Simone Tebet,9.13,6830
31,347, Jair Bolsonaro,43.86,57138, Lula,41.12,53565, Simone Tebet,8.17,10640
32,348, Jair Bolsonaro,49.32,37638, Lula,34.97,26682, Simone Tebet,8.87,6766
58,420, Jair Bolsonaro,46.36,40873, Lula,39.7,35002, Simone Tebet,7.71,6794
0,1, Lula,56.46,60683, Jair Bolsonaro,29.6,31814, Simone Tebet,8.1,8709
1,2, Lula,46.39,67566, Jair Bolsonaro,35.33,51459, Simone Tebet,11.9,17327
2,3, Lula,48.63,26535, Jair Bolsonaro,39.5,21556, Simone Tebet,6.02,3284
5,6, Lula,41.3,51419, Jair Bolsonaro,38.81,48314, Simone Tebet,12.62,15715
7,20, Lula,60.91,74925, Jair Bolsonaro,27.93,34351, Simone Tebet,5.4,6638
9,247, Lula,48.39,39085, Jair Bolsonaro,39.07,31562, Simone Tebet,6.51,5262
