ESTADO,MUNICíPIO,VOTOS VALIDOS,VOTOS VALIDOS PERCENTUAL,VOTOS BRANCOS,VOTOS BRANCOS PERCENTUAL,VOTOS NULOS,VOTOS NULOS PERCENTUAL,ABSTENÇÕES,ABSTENÇÕES PERCENTUAL
AC,Acrelândia,7118,99.99000000000001,45,0.62,130,1.78,2228,23.40
AC,Assis Brasil,4871,100.00000000000001,22,0.44,126,2.51,1371,21.46
AC,Brasiléia,14138,99.99000000000002,116,0.79,283,1.95,3658,20.10
AC,Bujari,7263,100.0,70,0.93,199,2.64,2415,24.28
AC,Capixaba,6011,100.00999999999999,36,0.58,119,1.93,1670,21.31
AC,Cruzeiro do Sul,45201,100.0,487,1.04,975,2.09,12529,21.17
AC,Epitaciolândia,9666,100.00000000000001,73,0.74,198,1.99,2576,20.59
AC,Feijó,15220,99.99000000000002,116,0.73,518,3.27,6896,30.31
AC,Jordão,4018,100.00999999999998,6,0.14,124,2.99,1446,25.85
AC,Mâncio Lima,10244,100.00000000000003,82,0.78,240,2.27,3205,23.27
AC,Manoel Urbano,5534,100.01,37,0.64,189,3.28,2014,25.91
AC,Marechal Thaumaturgo,8059,99.99000000000004,31,0.38,190,2.29,3081,27.12
AC,Plácido de Castro,9390,100.00000000000001,80,0.83,212,2.19,2588,21.09
AC,Porto Acre,10259,100.01000000000002,91,0.86,229,2.16,2600,19.73
AC,Porto Walter,5503,100.00999999999999,36,0.64,116,2.05,1579,21.83
AC,Rio Branco,203629,100.01,2676,1.27,4556,2.16,55951,20.97
AC,Rodrigues Alves,8866,99.99000000000001,59,0.65,169,1.86,2695,22.86
AC,Santa Rosa do Purus,2518,100.0,15,0.57,77,2.95,1158,30.73
AC,Sena Madureira,21786,100.00000000000001,185,0.83,486,2.16,7852,25.91
AC,Senador Guiomard,13755,99.99000000000001,137,0.96,328,2.31,3597,20.19
AC,Tarauacá,18508,100.00000000000001,196,1.02,603,3.12,8312,30.10
AC,Xapuri,9360,99.99000000000001,68,0.71,255,2.63,2414,19.96
AL,Água Branca,10781,100.03000000000002,82,0.73,260,2.34,4812,30.20
AL,Anadia,8593,99.98999999999998,142,1.58,290,3.21,3636,28.72
AL,Arapiraca,116927,100.01,2015,1.65,3211,2.63,28825,19.09
AL,Atalaia,22604,100.00000000000001,373,1.58,674,2.85,7692,24.54
AL,Barra de Santo Antônio,9283,100.01,149,1.54,285,2.93,2810,22.43
AL,Barra de São Miguel,5905,99.99,74,1.20,148,2.42,1195,16.32
AL,Batalha,9597,99.99000000000002,109,1.10,218,2.20,3138,24.02
AL,Belém,3488,100.0,69,1.89,103,2.81,1319,26.49
AL,Belo Monte,4461,99.99,43,0.93,136,2.93,1386,23.00
AL,Boca da Mata,13532,99.98,244,1.72,392,2.77,5407,27.62
AL,Branquinha,6123,99.99999999999997,89,1.40,164,2.57,2730,29.98
AL,Cacimbinhas,5955,100.0,57,0.92,174,2.81,2265,26.80
AL,Cajueiro,10006,99.99999999999997,175,1.67,325,3.09,4045,27.80
AL,Campestre,4044,100.00000000000001,44,1.05,106,2.53,1474,26.01
AL,Campo Alegre,18067,100.02000000000001,234,1.24,580,3.07,6936,26.87
AL,Campo Grande,6562,100.02,108,1.57,199,2.90,2069,23.15
AL,Canapi,9304,100.00000000000003,73,0.76,290,3.00,3961,29.07
AL,Capela,9481,100.00000000000003,130,1.31,318,3.20,3011,23.27
AL,Carneiros,5041,100.00000000000001,48,0.92,142,2.71,1729,24.84
AL,Chã Preta,4373,99.99999999999999,57,1.23,181,3.93,1479,24.29
AL,Coité do Nóia,6613,100.01999999999998,64,0.92,219,3.18,2000,22.48
AL,Colônia Leopoldina,10290,99.99999999999999,160,1.48,364,3.37,4032,27.16
AL,Coqueiro Seco,3959,100.01,101,2.40,145,3.45,808,16.12
AL,Coruripe,28689,100.02000000000001,641,2.10,1129,3.71,9700,24.15
AL,Craíbas,14721,100.01,210,1.36,420,2.74,3959,20.50
AL,Delmiro Gouveia,28603,99.99,291,0.98,653,2.21,9467,24.27
AL,Dois Riachos,6543,100.00999999999998,53,0.78,151,2.24,2555,27.47
AL,Estrela de Alagoas,7878,99.99000000000002,85,1.03,302,3.65,3748,31.20
AL,Feira Grande,13409,100.00000000000001,182,1.31,379,2.71,3928,21.95
AL,Feliz Deserto,2444,99.99000000000002,41,1.59,91,3.53,948,26.90
AL,Flexeiras,6099,100.00999999999999,117,1.82,239,3.70,2226,25.64
AL,Girau do Ponciano,19488,99.99999999999999,268,1.32,534,2.63,7097,25.91
AL,Ibateguara,7922,100.01,162,1.95,253,3.03,3032,26.67
AL,Igaci,13778,100.01000000000003,217,1.50,450,3.12,5658,28.15
AL,Igreja Nova,12847,100.00000000000001,276,2.05,394,2.91,4036,22.99
AL,Inhapi,9046,99.99000000000002,115,1.22,296,3.13,3814,28.74
AL,Jacaré dos Homens,3633,100.0,25,0.67,69,1.85,1181,24.06
AL,Jacuípe,4237,100.00999999999999,51,1.16,125,2.83,1271,22.36
AL,Japaratinga,5455,99.99000000000001,110,1.92,153,2.68,1451,20.24
AL,Jaramataia,3759,100.01000000000002,30,0.76,128,3.27,1064,21.36
AL,Jequiá da Praia,6123,100.00999999999998,75,1.19,135,2.13,1610,20.27
AL,Joaquim Gomes,10324,100.02000000000002,140,1.29,412,3.79,3449,24.08
AL,Jundiá,3158,99.99,43,1.30,99,3.00,1169,26.16
AL,Junqueiro,14246,100.01000000000002,235,1.58,481,3.21,4853,24.49
AL,Lagoa da Canoa,11435,99.99,178,1.50,319,2.67,3162,20.95
AL,Limoeiro de Anadia,14158,100.00999999999999,208,1.41,451,3.04,4231,22.21
AL,Maceió,484075,100.00000000000001,9383,1.84,15992,3.14,120136,19.08
AL,Major Isidoro,10919,100.0,133,1.17,308,2.71,3880,25.46
AL,Mar Vermelho,2806,100.00999999999998,39,1.34,68,2.33,623,17.62
AL,Maragogi,16735,100.0,341,1.94,491,2.80,4954,22.00
AL,Maravilha,5647,100.02,79,1.33,230,3.86,2174,26.74
AL,Marechal Deodoro,31641,99.99000000000001,575,1.74,925,2.79,7776,19.00
AL,Maribondo,7773,99.99999999999999,97,1.19,267,3.28,2200,21.28
AL,Mata Grande,11801,100.01000000000002,111,0.90,484,3.90,5310,29.99
AL,Matriz de Camaragibe,13026,99.99000000000001,229,1.68,378,2.77,4870,26.32
AL,Messias,10005,99.99999999999999,186,1.77,323,3.07,3083,22.67
AL,Minador do Negrão,3543,100.00000000000001,35,0.94,139,3.74,1193,24.30
AL,Monteirópolis,4167,100.00999999999998,46,1.07,114,2.63,1649,27.59
AL,Murici,14390,99.99000000000001,377,2.48,438,2.88,4865,24.24
