ESTADO,MUNICíPIO,LULA VOTOS,LULA VOTOS PERCENTUAL,BOLSONARO VOTOS,BOLSONARO PERCENTUAL,CIRO VOTOS,CIRO VOTOS PERCENTUAL,TEBET VOTOS,TEBET VOTOS PERCENTUAL,OUTROS VOTOS,OUTROS VOTOS PERCENTUAL,ABSTENÇÕES,ABSTENÇÕES PERCENTUAL,VOTOS BRANCOS,VOTOS BRANCOS PERCENTUAL,VOTOS NULOS,VOTOS NULOS PERCENTUAL
AC,Acrelândia,1516,21.3,5238,73.59,117,1.64,192,2.7,0,0.0,2228,23.40,45,0.62,130,1.78
AC,Assis Brasil,2003,41.12,2694,55.31,44,0.9,109,2.24,0,0.0,1371,21.46,22,0.44,126,2.51
AC,Brasiléia,4171,29.5,9143,64.67,249,1.76,496,3.51,1,0.01,3658,20.10,116,0.79,283,1.95
AC,Bujari,2130,29.33,4505,62.03,197,2.71,356,4.9,0,0.0,2415,24.28,70,0.93,199,2.64
AC,Capixaba,1630,27.12,3944,65.61,120,2.0,264,4.39,0,0.0,1670,21.31,36,0.58,119,1.93
AC,Cruzeiro do Sul,10770,23.83,30977,68.53,1267,2.8,1883,4.17,2,0.0,12529,21.17,487,1.04,975,2.09
AC,Epitaciolândia,2592,26.82,6494,67.18,142,1.47,377,3.9,0,0.0,2576,20.59,73,0.74,198,1.99
AC,Feijó,7930,52.1,6191,40.68,373,2.45,635,4.17,0,0.0,6896,30.31,116,0.73,518,3.27
AC,Jordão,2213,55.08,1515,37.71,120,2.99,157,3.91,0,0.0,1446,25.85,6,0.14,124,2.99
AC,Mâncio Lima,3236,31.59,6469,63.15,155,1.51,331,3.23,1,0.01,3205,23.27,82,0.78,240,2.27
AC,Manoel Urbano,2095,37.86,3141,56.76,114,2.06,126,2.28,0,0.0,2014,25.91,37,0.64,189,3.28
AC,Marechal Thaumaturgo,3238,40.18,4146,51.45,225,2.79,433,5.37,0,0.0,3081,27.12,31,0.38,190,2.29
AC,Plácido de Castro,2442,26.01,6209,66.12,189,2.01,489,5.21,0,0.0,2588,21.09,80,0.83,212,2.19
AC,Porto Acre,2490,24.27,7062,68.84,168,1.64,463,4.51,0,0.0,2600,19.73,91,0.86,229,2.16
AC,Porto Walter,2660,48.34,2143,38.94,214,3.89,451,8.2,0,0.0,1579,21.83,36,0.64,116,2.05
AC,Rio Branco,53560,26.3,130393,64.03,6878,3.38,10522,5.17,31,0.02,55951,20.97,2676,1.27,4556,2.16
AC,Rodrigues Alves,1839,20.74,6551,73.89,165,1.86,263,2.97,0,0.0,2695,22.86,59,0.65,169,1.86
AC,Santa Rosa do Purus,1357,53.89,1028,40.83,44,1.75,58,2.3,0,0.0,1158,30.73,15,0.57,77,2.95
AC,Sena Madureira,5811,26.67,14317,65.72,473,2.17,973,4.47,1,0.0,7852,25.91,185,0.83,486,2.16
AC,Senador Guiomard,3523,25.61,9134,66.4,349,2.54,654,4.75,0,0.0,3597,20.19,137,0.96,328,2.31
AC,Tarauacá,8042,43.45,9146,49.42,543,2.93,671,3.63,0,0.0,8312,30.10,196,1.02,603,3.12
AC,Xapuri,3774,40.32,5142,54.94,168,1.79,219,2.34,0,0.0,2414,19.96,68,0.71,255,2.63
AL,Água Branca,9295,86.22,890,8.26,238,2.21,321,2.98,0,0.0,4812,30.20,82,0.73,260,2.34
AL,Anadia,6234,72.55,1797,20.91,211,2.46,274,3.19,0,0.0,3636,28.72,142,1.58,290,3.21
AL,Arapiraca,59431,50.83,48456,41.44,3897,3.33,3938,3.37,12,0.01,28825,19.09,2015,1.65,3211,2.63
AL,Atalaia,13894,61.47,7105,31.43,422,1.87,964,4.26,1,0.0,7692,24.54,373,1.58,674,2.85
AL,Barra de Santo Antônio,5358,57.72,3400,36.63,171,1.84,292,3.15,0,0.0,2810,22.43,149,1.54,285,2.93
AL,Barra de São Miguel,2739,46.38,2769,46.89,146,2.47,198,3.35,0,0.0,1195,16.32,74,1.20,148,2.42
AL,Batalha,6244,65.06,2727,28.42,197,2.05,345,3.59,0,0.0,3138,24.02,109,1.10,218,2.20
AL,Belém,2442,70.01,790,22.65,51,1.46,187,5.36,0,0.0,1319,26.49,69,1.89,103,2.81
AL,Belo Monte,3192,71.55,1006,22.55,86,1.93,159,3.56,0,0.0,1386,23.00,43,0.93,136,2.93
AL,Boca da Mata,7789,57.56,4872,36.0,274,2.02,435,3.21,1,0.01,5407,27.62,244,1.72,392,2.77
AL,Branquinha,4230,69.08,1471,24.02,119,1.94,275,4.49,1,0.02,2730,29.98,89,1.40,164,2.57
AL,Cacimbinhas,4189,70.34,1310,22.0,125,2.1,306,5.14,0,0.0,2265,26.80,57,0.92,174,2.81
AL,Cajueiro,6482,64.78,2840,28.38,208,2.08,385,3.85,0,0.0,4045,27.80,175,1.67,325,3.09
