ds_sit_totalizacao,ds_cargo,sg_partido,sg_uf,nm_candidato,nr_candidato,qt_votos_nominais,qt_votos_validos,dt_carga
Eleito,Deputado Estadual,AVANTE,SP,RUBENS CLAUDIO SIQUEIRA NERI,70190,34238,20852681,2022-09-11 04:27:51
Eleito,Deputado Estadual,DEM,SP,ARTHUR MOLEDO DO VAL,25555,478280,20852681,2022-09-11 04:27:51
Eleito,Deputado Estadual,DEM,SP,DANIEL BEZERRA RIBEIRO SOARES,25333,97330,20852681,2022-09-11 04:27:51
Eleito,Deputado Estadual,DEM,SP,EDMIR JOSE ABI CHEDID,25118,135991,20852681,2022-09-11 04:27:51
Eleito,Deputado Estadual,DEM,SP,ESTEVAM GALVÃO DE OLIVEIRA,25199,59548,20852681,2022-09-11 04:27:51
Eleito,Deputado Estadual,DEM,SP,MILTON LEITE DA SILVA FILHO,25250,105492,20852681,2022-09-11 04:27:51
Eleito,Deputado Estadual,DEM,SP,RODRIGO AUGUSTO MORAES,25111,75845,20852681,2022-09-11 04:27:51
Eleito,Deputado Estadual,DEM,SP,ROGERIO NOGUEIRA LOPES CRUZ,25123,89040,20852681,2022-09-11 04:27:51
Eleito,Deputado Estadual,MDB,SP,ITAMAR FRANCISCO MACHADO BORGES,15300,82185,20852681,2022-09-11 04:27:51
Eleito,Deputado Estadual,MDB,SP,JORGE LUIS CARUSO,15000,83758,20852681,2022-09-11 04:27:51
Eleito,Deputado Estadual,MDB,SP,OCIMAR DONIZETI LEO OLIVEIRA,15123,76703,20852681,2022-09-11 04:27:51
Eleito,Deputado Estadual,NOVO,SP,DANIEL JOSÉ DA SILVA OLIVEIRA,30300,183480,20852681,2022-09-11 04:27:51
Eleito,Deputado Estadual,NOVO,SP,HENI OZI CUKIER,30111,130214,20852681,2022-09-11 04:27:51
Eleito,Deputado Estadual,NOVO,SP,RICARDO LUIS MELLAO,30100,27150,20852681,2022-09-11 04:27:51
Eleito,Deputado Estadual,NOVO,SP,SERGIO LUIZ VICTOR JUNIOR,30500,29909,20852681,2022-09-11 04:27:51
Eleito,Deputado Estadual,PATRI,SP,PAULO ALVES CORRÊA JUNIOR,51699,46438,20852681,2022-09-11 04:27:51
Eleito,Deputado Estadual,PC do B,SP,LECI BRANDÃO DA SILVA,65035,64487,20852681,2022-09-11 04:27:51
Eleito,Deputado Estadual,PDT,SP,MARCIO MASSAMI NAKASHIMA,12345,38081,20852681,2022-09-11 04:27:51
Eleito,Deputado Estadual,PHS,SP,DAMARIS DIAS MOURA KUO,31031,45103,20852681,2022-09-11 04:27:51
Eleito,Deputado Estadual,PODE,SP,ATAIDE TERUEL PEREZ,19001,58136,20852681,2022-09-11 04:27:51
Eleito,Deputado Estadual,PODE,SP,BRUNO AREVALO GANEM,19100,106203,20852681,2022-09-11 04:27:51
Eleito,Deputado Estadual,PODE,SP,JOSÉ APRIGIO DA SILVA,19714,43320,20852681,2022-09-11 04:27:51
Eleito,Deputado Estadual,PODE,SP,MARCIO PASCHOAL GIUDICIO,19199,44969,20852681,2022-09-11 04:27:51
Eleito,Deputado Estadual,PP,SP,ANTONIO ASSUNÇÃO DE OLIM,11777,161569,20852681,2022-09-11 04:27:51
Eleito,Deputado Estadual,PP,SP,KENNY PIRES MENDES,11000,117567,20852681,2022-09-11 04:27:51
Eleito,Deputado Estadual,PP,SP,PAULO ADRIANO LOPES LUCINDA TELHADA,11190,214445,20852681,2022-09-11 04:27:51
Eleito,Deputado Estadual,PP,SP,ROBERVAL CONTE LOPES LIMA,11138,116806,20852681,2022-09-11 04:27:51
Eleito,Deputado Estadual,PPS,SP,FERNANDO HENRIQUE CURY,23456,99815,20852681,2022-09-11 04:27:51
Eleito,Deputado Estadual,PPS,SP,ROBERTO TURCHI DE MORAIS,23623,63447,20852681,2022-09-11 04:27:51
Eleito,Deputado Estadual,PR,SP,ANDRÉ LUIS DO PRADO,22999,123313,20852681,2022-09-11 04:27:51
Eleito,Deputado Estadual,PR,SP,ANTONIO DIRCEU DALBEN,22456,79564,20852681,2022-09-11 04:27:51
Eleito,Deputado Estadual,PR,SP,GRACIELA DE LOURDES DAVID AMBRÓSIO,22888,63089,20852681,2022-09-11 04:27:51
Eleito,Deputado Estadual,PR,SP,MARCOS ROBERTO DAMASIO DA SILVA,22222,81695,20852681,2022-09-11 04:27:51
Eleito,Deputado Estadual,PR,SP,RICARDO ROSSI MADALENA,22123,77554,20852681,2022-09-11 04:27:51
Eleito,Deputado Estadual,PR,SP,THIAGO REIS AURICCHIO,22343,73435,20852681,2022-09-11 04:27:51
Eleito,Deputado Estadual,PRB,SP,ALTAIR MORAES DE OLIVEIRA,10333,86230,20852681,2022-09-11 04:27:51
Eleito,Deputado Estadual,PRB,SP,EDNA BEZERRA SAMPAIO FERNANDES,10456,84144,20852681,2022-09-11 04:27:51
Eleito,Deputado Estadual,PRB,SP,GILMACI DOS SANTOS BARBOSA,10123,82678,20852681,2022-09-11 04:27:51
Eleito,Deputado Estadual,PRB,SP,JORGE WILSON GONÇALVES DE MATTOS,10000,177414,20852681,2022-09-11 04:27:51
Eleito,Deputado Estadual,PRB,SP,SEBASTIÃO DOS SANTOS FILHO,10321,75280,20852681,2022-09-11 04:27:51
