Zona,Nome,Lula (%),Lula (votos),Bolsonaro (%),Bolsonaro (votos),Tebet (%),Tebet (votos),Vencedor
1,São Paulo - Bela Vista,56.46,60683,29.6,31814,8.1,8709,Lula
2,São Paulo - Perdizes,46.39,67566,35.33,51459,11.9,17327,Lula
3,São Paulo - Santa Ifigênia,48.63,26535,39.5,21556,6.02,3284,Lula
4,São Paulo - Moóca,34.69,41687,48.84,58681,9.52,11440,Bolsonaro
5,São Paulo - Jardim Paulista,35.79,33049,41.95,38733,15.58,14383,Bolsonaro
6,São Paulo - Vila Mariana,41.3,51419,38.81,48314,12.62,15715,Lula
20,São Paulo - Valo Velho,60.91,74925,27.93,34351,5.4,6638,Lula
246,São Paulo - Santo Amaro,33.6,30101,44.85,40172,13.47,12065,Bolsonaro
247,São Paulo - São Miguel Paulista,48.39,39085,39.07,31562,6.51,5262,Lula
248,São Paulo - Itaquera,49.1,57472,38.03,44510,6.52,7632,Lula
249,São Paulo - Santana,33.47,27701,48.73,40331,10.5,8694,Bolsonaro
250,São Paulo - Lapa,38.11,48650,43.14,55071,11.4,14548,Bolsonaro
251,São Paulo - Pinheiros,46.75,41103,32.72,28763,14.11,12405,Lula
252,São Paulo - Penha De França,39.08,32319,45.0,37223,8.57,7089,Bolsonaro
253,São Paulo - Tatuapé,34.14,57144,48.98,81986,9.61,16094,Bolsonaro
254,São Paulo - Vila Maria,38.92,44036,47.41,53637,7.51,8498,Bolsonaro
255,São Paulo - Casa Verde,41.99,58300,42.46,58951,8.94,12408,Bolsonaro
256,São Paulo - Tucuruvi,41.16,53329,44.43,57564,7.85,10169,Bolsonaro
257,São Paulo - Vila Prudente,37.48,49343,46.61,61361,9.03,11884,Bolsonaro
258,São Paulo - Indianópolis,31.41,44626,46.27,65737,14.76,20964,Bolsonaro
259,São Paulo - Saúde,37.24,43882,39.95,47078,14.8,17435,Bolsonaro
260,São Paulo - Ipiranga,45.28,60824,39.7,53333,8.54,11467,Lula
280,São Paulo - Capela Do Socorro,48.11,62264,37.16,48095,8.05,10414,Lula
320,São Paulo - Jabaquara,47.88,65675,35.95,49307,9.02,12371,Lula
325,São Paulo - Pirituba,40.59,30381,43.1,32262,9.13,6830,Bolsonaro
326,São Paulo - Ermelino Matarazzo,48.71,39638,39.55,32183,6.0,4886,Lula
327,São Paulo - Nossa Senhora Do Ó,42.88,37555,41.81,36616,8.67,7593,Lula
328,São Paulo - Campo Limpo,53.95,72614,32.94,44340,6.63,8924,Lula
346,São Paulo - Butantã,40.81,44473,40.48,44114,11.7,12749,Lula
347,São Paulo - Vila Matilde,41.12,53565,43.86,57138,8.17,10640,Bolsonaro
348,São Paulo - Vila Formosa,34.97,26682,49.32,37638,8.87,6766,Bolsonaro
349,São Paulo - Jaçanã,43.01,41176,42.67,40854,7.83,7500,Lula
350,São Paulo - Sapopemba,43.66,44006,42.93,43274,7.23,7290,Lula
351,São Paulo - Cidade Ademar,50.68,49835,35.04,34454,7.76,7626,Lula
352,São Paulo - Itaim Paulista,52.54,81511,36.39,56459,5.67,8799,Lula
353,São Paulo - Guaianases,55.83,76019,33.53,45653,5.2,7084,Lula
371,São Paulo - Grajaú,61.77,93576,27.37,41468,5.37,8141,Lula
372,São Paulo - Piraporinha,62.16,131030,26.94,56792,5.27,11107,Lula
373,São Paulo - Capão Redondo,57.27,56650,30.47,30144,6.09,6024,Lula
374,São Paulo - Rio Pequeno,50.14,96284,34.66,66564,8.61,16540,Lula
375,São Paulo - São Mateus,54.25,103125,34.74,66037,5.53,10506,Lula
376,São Paulo - Brasilândia,52.99,96397,34.99,63641,6.41,11664,Lula
381,São Paulo - Parelheiros,60.39,108864,28.52,51407,5.4,9730,Lula
389,São Paulo - Perus,55.04,82812,33.76,50796,5.86,8820,Lula
390,São Paulo - Cangaíba,44.16,39736,42.02,37812,7.37,6628,Lula
392,São Paulo - Ponte Rasa,45.12,42934,40.8,38825,7.53,7167,Lula
397,São Paulo - Jardim Helena,52.81,62615,36.54,43329,5.42,6425,Lula
398,São Paulo - Vila Jacuí,49.31,37217,38.9,29361,5.88,4439,Lula
403,São Paulo - Jaraguá,50.21,42308,36.59,30831,7.16,6033,Lula
404,São Paulo - Cidade Tiradentes,60.77,88478,28.9,42085,5.09,7406,Lula
405,São Paulo - Conjunto José Bonifácio,52.52,42375,33.97,27404,7.1,5729,Lula
408,São Paulo - Jardim São Luís,54.5,69486,31.75,40477,7.38,9407,Lula
413,São Paulo - Cursino,44.98,51499,39.01,44665,9.15,10474,Lula
417,São Paulo - Parque Do Carmo,47.52,44586,38.83,36431,7.1,6658,Lula
418,São Paulo - Pedreira,53.07,77028,33.37,48437,7.04,10217,Lula
420,São Paulo - Vila Sabrina,39.7,35002,46.36,40873,7.71,6794,Bolsonaro
421,São Paulo - Teotônio Vilela,52.77,57642,36.27,39623,5.66,6178,Lula
422,São Paulo - Lauzane Paulista,42.92,47502,42.41,46939,8.19,9066,Lula
