codigo_tse,uf,MUNICÍPIO,capital,codigo_ibge,LULA VOTOS,LULA VOTOS PERCENTUAL,BOLSONARO VOTOS,BOLSONARO PERCENTUAL,CIRO VOTOS,CIRO VOTOS PERCENTUAL,TEBET VOTOS,TEBET VOTOS PERCENTUAL,OUTROS VOTOS,OUTROS VOTOS PERCENTUAL,ABSTENÇÕES,ABSTENÇÕES PERCENTUAL,VOTOS BRANCOS,VOTOS BRANCOS PERCENTUAL,VOTOS NULOS,VOTOS NULOS PERCENTUAL
1120,AC,ACRELÂNDIA,0,1200013,1516,21.3,5238,73.59,117,1.64,192,2.7,0,0.0,2228,23.4,45,0.62,130,1.78
1570,AC,ASSIS BRASIL,0,1200054,2003,41.12,2694,55.31,44,0.9,109,2.24,0,0.0,1371,21.46,22,0.44,126,2.51
1058,AC,BRASILÉIA,0,1200104,4171,29.5,9143,64.67,249,1.76,496,3.51,1,0.01,3658,20.1,116,0.79,283,1.95
1007,AC,BUJARI,0,1200138,2130,29.33,4505,62.03,197,2.71,356,4.9,0,0.0,2415,24.28,70,0.93,199,2.64
1015,AC,CAPIXABA,0,1200179,1630,27.12,3944,65.61,120,2.0,264,4.39,0,0.0,1670,21.31,36,0.58,119,1.93
1074,AC,CRUZEIRO DO SUL,0,1200203,10770,23.83,30977,68.53,1267,2.8,1883,4.17,2,0.0,12529,21.17,487,1.04,975,2.09
1112,AC,EPITACIOLÂNDIA,0,1200252,2592,26.82,6494,67.18,142,1.47,377,3.9,0,0.0,2576,20.59,73,0.74,198,1.99
1139,AC,FEIJÓ,0,1200302,7930,52.1,6191,40.68,373,2.45,635,4.17,0,0.0,6896,30.31,116,0.73,518,3.27
1104,AC,JORDÃO,0,1200328,2213,55.08,1515,37.71,120,2.99,157,3.91,0,0.0,1446,25.85,6,0.14,124,2.99
1554,AC,MANOEL URBANO,0,1200344,2095,37.86,3141,56.76,114,2.06,126,2.28,0,0.0,2014,25.91,37,0.64,189,3.28
1040,AC,MARECHAL THAUMATURGO,0,1200351,3238,40.18,4146,51.45,225,2.79,433,5.37,0,0.0,3081,27.12,31,0.38,190,2.29
1090,AC,MÂNCIO LIMA,0,1200336,3236,31.59,6469,63.15,155,1.51,331,3.23,1,0.01,3205,23.27,82,0.78,240,2.27
1511,AC,PLÁCIDO DE CASTRO,0,1200385,2442,26.01,6209,66.12,189,2.01,489,5.21,0,0.0,2588,21.09,80,0.83,212,2.19
1023,AC,PORTO ACRE,0,1200807,2490,24.27,7062,68.84,168,1.64,463,4.51,0,0.0,2600,19.73,91,0.86,229,2.16
1066,AC,PORTO WALTER,0,1200393,2660,48.34,2143,38.94,214,3.89,451,8.2,0,0.0,1579,21.83,36,0.64,116,2.05
1392,AC,RIO BRANCO,1,1200401,53560,26.3,130393,64.03,6878,3.38,10522,5.17,31,0.02,55951,20.97,2676,1.27,4556,2.16
1082,AC,RODRIGUES ALVES,0,1200427,1839,20.74,6551,73.89,165,1.86,263,2.97,0,0.0,2695,22.86,59,0.65,169,1.86
1031,AC,SANTA ROSA DO PURUS,0,1200435,1357,53.89,1028,40.83,44,1.75,58,2.3,0,0.0,1158,30.73,15,0.57,77,2.95
1457,AC,SENA MADUREIRA,0,1200500,5811,26.67,14317,65.72,473,2.17,973,4.47,1,0.0,7852,25.91,185,0.83,486,2.16
1538,AC,SENADOR GUIOMARD,0,1200450,3523,25.61,9134,66.4,349,2.54,654,4.75,0,0.0,3597,20.19,137,0.96,328,2.31
1473,AC,TARAUACÁ,0,1200609,8042,43.45,9146,49.42,543,2.93,671,3.63,0,0.0,8312,30.1,196,1.02,603,3.12
1490,AC,XAPURI,0,1200708,3774,40.32,5142,54.94,168,1.79,219,2.34,0,0.0,2414,19.96,68,0.71,255,2.63
27030,AL,ANADIA,0,2700201,6234,72.55,1797,20.91,211,2.46,274,3.19,0,0.0,3636,28.72,142,1.58,290,3.21
27057,AL,ARAPIRACA,0,2700300,59431,50.83,48456,41.44,3897,3.33,3938,3.37,12,0.01,28825,19.09,2015,1.65,3211,2.63
27073,AL,ATALAIA,0,2700409,13894,61.47,7105,31.43,422,1.87,964,4.26,1,0.0,7692,24.54,373,1.58,674,2.85
27090,AL,BARRA DE SANTO ANTÔNIO,0,2700508,5358,57.72,3400,36.63,171,1.84,292,3.15,0,0.0,2810,22.43,149,1.54,285,2.93
27111,AL,BARRA DE SÃO MIGUEL,0,2700607,2739,46.38,2769,46.89,146,2.47,198,3.35,0,0.0,1195,16.32,74,1.2,148,2.42
27138,AL,BATALHA,0,2700706,6244,65.06,2727,28.42,197,2.05,345,3.59,0,0.0,3138,24.02,109,1.1,218,2.2
27170,AL,BELO MONTE,0,2700904,3192,71.55,1006,22.55,86,1.93,159,3.56,0,0.0,1386,23.0,43,0.93,136,2.93
27154,AL,BELÉM,0,2700805,2442,70.01,790,22.65,51,1.46,187,5.36,0,0.0,1319,26.49,69,1.89,103,2.81
27197,AL,BOCA DA MATA,0,2701001,7789,57.56,4872,36.0,274,2.02,435,3.21,1,0.01,5407,27.62,244,1.72,392,2.77
27219,AL,BRANQUINHA,0,2701100,4230,69.08,1471,24.02,119,1.94,275,4.49,1,0.02,2730,29.98,89,1.4,164,2.57
27235,AL,CACIMBINHAS,0,2701209,4189,70.34,1310,22.0,125,2.1,306,5.14,0,0.0,2265,26.8,57,0.92,174,2.81
27251,AL,CAJUEIRO,0,2701308,6482,64.78,2840,28.38,208,2.08,385,3.85,0,0.0,4045,27.8,175,1.67,325,3.09
27081,AL,CAMPESTRE,0,2701357,2685,66.39,1074,26.56,108,2.67,149,3.68,0,0.0,1474,26.01,44,1.05,106,2.53
27278,AL,CAMPO ALEGRE,0,2701407,11834,65.5,5279,29.22,349,1.93,368,2.04,1,0.01,6936,26.87,234,1.24,580,3.07
27294,AL,CAMPO GRANDE,0,2701506,5082,77.45,1136,17.31,131,2.0,187,2.85,0,0.0,2069,23.15,108,1.57,199,2.9
27316,AL,CANAPI,0,2701605,7512,80.74,1239,13.32,190,2.04,263,2.83,0,0.0,3961,29.07,73,0.76,290,3.0
27332,AL,CAPELA,0,2701704,5477,57.77,3392,35.78,180,1.9,384,4.05,1,0.01,3011,23.27,130,1.31,318,3.2
27359,AL,CARNEIROS,0,2701803,3945,78.26,726,14.4,102,2.02,239,4.74,0,0.0,1729,24.84,48,0.92,142,2.71
27375,AL,CHÃ PRETA,0,2701902,3193,73.02,909,20.79,63,1.44,178,4.07,0,0.0,1479,24.29,57,1.23,181,3.93
27391,AL,COITÉ DO NÓIA,0,2702009,5049,76.35,1109,16.77,173,2.62,207,3.13,0,0.0,2000,22.48,64,0.92,219,3.18
27413,AL,COLÔNIA LEOPOLDINA,0,2702108,5517,53.62,4190,40.72,203,1.97,305,2.96,2,0.02,4032,27.16,160,1.48,364,3.37
27430,AL,COQUEIRO SECO,0,2702207,2367,59.79,1300,32.84,71,1.79,177,4.47,0,0.0,808,16.12,101,2.4,145,3.45
27456,AL,CORURIPE,0,2702306,13124,45.75,13580,47.34,738,2.57,957,3.34,2,0.01,9700,24.15,641,2.1,1129,3.71
28894,AL,CRAÍBAS,0,2702355,11172,75.89,2625,17.83,334,2.27,449,3.05,1,0.01,3959,20.5,210,1.36,420,2.74
27472,AL,DELMIRO GOUVEIA,0,2702405,22645,79.17,4486,15.68,573,2.0,783,2.74,3,0.01,9467,24.27,291,0.98,653,2.21
27499,AL,DOIS RIACHOS,0,2702504,4778,73.02,1399,21.38,96,1.47,248,3.79,0,0.0,2555,27.47,53,0.78,151,2.24
27049,AL,ESTRELA DE ALAGOAS,0,2702553,6284,79.77,1077,13.67,157,1.99,270,3.43,1,0.01,3748,31.2,85,1.03,302,3.65
27510,AL,FEIRA GRANDE,0,2702603,9890,73.76,2657,19.82,304,2.27,467,3.48,0,0.0,3928,21.95,182,1.31,379,2.71
27537,AL,FELIZ DESERTO,0,2702702,1629,66.65,709,29.01,25,1.02,68,2.78,0,0.0,948,26.9,41,1.59,91,3.53
27553,AL,FLEXEIRAS,0,2702801,3001,49.2,2685,44.02,142,2.33,173,2.84,0,0.0,2226,25.64,117,1.82,239,3.7
27570,AL,GIRAU DO PONCIANO,0,2702900,15297,78.49,3102,15.92,454,2.33,491,2.52,0,0.0,7097,25.91,268,1.32,534,2.63
27596,AL,IBATEGUARA,0,2703007,4787,60.43,2590,32.69,192,2.42,300,3.79,0,0.0,3032,26.67,162,1.95,253,3.03
27618,AL,IGACI,0,2703106,10652,77.31,2325,16.87,231,1.68,443,3.22,0,0.0,5658,28.15,217,1.5,450,3.12
27634,AL,IGREJA NOVA,0,2703205,9392,73.11,2704,21.05,219,1.7,441,3.43,0,0.0,4036,22.99,276,2.05,394,2.91
27650,AL,INHAPI,0,2703304,7310,80.81,1213,13.41,163,1.8,329,3.64,1,0.01,3814,28.74,115,1.22,296,3.13
27677,AL,JACARÉ DOS HOMENS,0,2703403,2829,77.87,610,16.79,63,1.73,104,2.86,0,0.0,1181,24.06,25,0.67,69,1.85
27693,AL,JACUÍPE,0,2703502,2904,68.54,1107,26.13,110,2.6,96,2.27,0,0.0,1271,22.36,51,1.16,125,2.83
27715,AL,JAPARATINGA,0,2703601,2426,44.47,2754,50.49,81,1.48,142,2.6,0,0.0,1451,20.24,110,1.92,153,2.68
27731,AL,JARAMATAIA,0,2703700,2843,75.63,702,18.68,82,2.18,114,3.03,0,0.0,1064,21.36,30,0.76,128,3.27
27065,AL,JEQUIÁ DA PRAIA,0,2703759,3064,50.04,2669,43.59,144,2.35,211,3.45,0,0.0,1610,20.27,75,1.19,135,2.13
27758,AL,JOAQUIM GOMES,0,2703809,7065,68.43,2685,26.01,161,1.56,330,3.2,0,0.0,3449,24.08,140,1.29,412,3.79
27774,AL,JUNDIÁ,0,2703908,1899,60.13,1037,32.84,72,2.28,122,3.86,0,0.0,1169,26.16,43,1.3,99,3.0
27790,AL,JUNQUEIRO,0,2704005,9073,63.69,4195,29.45,471,3.31,345,2.42,0,0.0,4853,24.49,235,1.58,481,3.21
27812,AL,LAGOA DA CANOA,0,2704104,8047,70.37,2722,23.8,235,2.06,311,2.72,2,0.02,3162,20.95,178,1.5,319,2.67
27839,AL,LIMOEIRO DE ANADIA,0,2704203,10502,74.18,2946,20.81,330,2.33,206,1.46,0,0.0,4231,22.21,208,1.41,451,3.04
27855,AL,MACEIÓ,1,2704302,195714,40.43,240053,49.59,15549,3.21,25840,5.34,57,0.01,120136,19.08,9383,1.84,15992,3.14
27871,AL,MAJOR ISIDORO,0,2704401,7253,66.43,3012,27.58,193,1.77,392,3.59,1,0.01,3880,25.46,133,1.17,308,2.71
27979,AL,MAR VERMELHO,0,2704906,1942,69.21,659,23.49,64,2.28,129,4.6,0,0.0,623,17.62,39,1.34,68,2.33
27898,AL,MARAGOGI,0,2704500,6966,41.63,8865,52.97,336,2.01,410,2.45,2,0.01,4954,22.0,341,1.94,491,2.8
27910,AL,MARAVILHA,0,2704609,4282,75.83,1005,17.8,193,3.42,133,2.36,0,0.0,2174,26.74,79,1.33,230,3.86
27936,AL,MARECHAL DEODORO,0,2704708,13719,43.36,15343,48.49,756,2.39,1437,4.54,1,0.0,7776,19.0,575,1.74,925,2.79
27952,AL,MARIBONDO,0,2704807,4974,63.99,2356,30.31,123,1.58,250,3.22,0,0.0,2200,21.28,97,1.19,267,3.28
27995,AL,MATA GRANDE,0,2705002,9432,79.93,1814,15.37,198,1.68,317,2.69,0,0.0,5310,29.99,111,0.9,484,3.9
28010,AL,MATRIZ DE CAMARAGIBE,0,2705101,5531,42.46,6749,51.81,242,1.86,377,2.89,0,0.0,4870,26.32,229,1.68,378,2.77
28037,AL,MESSIAS,0,2705200,5776,57.73,3675,36.73,172,1.72,289,2.89,0,0.0,3083,22.67,186,1.77,323,3.07
28053,AL,MINADOR DO NEGRÃO,0,2705309,2486,70.17,793,22.38,86,2.43,141,3.98,0,0.0,1193,24.3,35,0.94,139,3.74
28070,AL,MONTEIRÓPOLIS,0,2705408,3008,72.19,783,18.79,109,2.62,234,5.62,0,0.0,1649,27.59,46,1.07,114,2.63
28096,AL,MURICI,0,2705507,8770,60.95,4630,32.18,284,1.97,556,3.86,1,0.01,4865,24.24,377,2.48,438,2.88
28118,AL,NOVO LINO,0,2705606,3437,49.38,3075,44.17,157,2.26,228,3.28,0,0.0,2563,26.0,118,1.62,214,2.93
28134,AL,OLHO D'ÁGUA DAS FLORES,0,2705705,7204,62.17,3652,31.52,240,2.07,416,3.59,0,0.0,3967,24.79,135,1.12,312,2.59
28150,AL,OLHO D'ÁGUA DO CASADO,0,2705804,4522,85.0,523,9.83,68,1.28,190,3.57,0,0.0,1949,26.18,48,0.87,128,2.33
28177,AL,OLHO D'ÁGUA GRANDE,0,2705903,2689,78.08,557,16.17,48,1.39,137,3.98,0,0.0,1224,25.37,46,1.27,110,3.06
28193,AL,OLIVENÇA,0,2706000,5042,71.27,1564,22.11,141,1.99,279,3.94,0,0.0,2287,23.75,53,0.72,213,2.9
28215,AL,OURO BRANCO,0,2706109,5283,75.92,1252,17.99,153,2.2,197,2.83,0,0.0,2066,22.38,58,0.81,148,2.07
28231,AL,PALESTINA,0,2706208,2442,73.93,600,18.17,78,2.36,151,4.57,0,0.0,1303,27.51,40,1.17,90,2.62
