Posição,Partido,Preta,Parda,Outras,Pretos+Pardos (%)
1,PSOL,331,218,355,60.7
2,UP,23,13,24,60.0
3,PMB,152,342,333,59.7
4,PC do B,49,79,90,58.7
5,PMN,114,357,331,58.7
6,AVANTE,135,432,460,55.2
7,PSTU,61,26,72,54.7
8,AGIR,132,376,421,54.7
9,CIDADANIA,66,194,215,54.7
10,REDE,82,171,211,54.5
11,DC,124,296,350,54.5
12,PRTB,100,383,421,53.4
13,PSC,133,418,496,52.6
14,PATRIOTA,152,480,579,52.2
15,PV,30,124,144,51.7
16,PDT,234,443,639,51.4
17,REPUBLICANOS,157,560,707,50.4
18,PROS,151,332,478,50.3
19,PSB,214,420,636,49.9
20,PT,285,262,558,49.5
21,MDB,178,486,695,48.9
22,SOLIDARIEDADE,136,389,560,48.4
23,PTB,111,504,679,47.5
24,UNIÃO,150,542,800,46.4
25,PODE,121,410,634,45.6
26,PSDB,92,329,515,45.0
27,PP,142,454,728,45.0
28,PCO,31,38,92,42.9
29,PL,110,561,907,42.5
30,PCB,20,15,48,42.2
31,PSD,102,358,703,39.6
32,NOVO,19,73,385,19.3
