NM_CANDIDATO,NM_URNA_CANDIDATO,DS_CARGO,ANO_ELEICAO,SG_PARTIDO,SG_UF
NEY JEFFERSON PEREIRA TEIXEIRA,NEY JEFFERSON LULA,DEPUTADO FEDERAL,2018,PT,MA
LUIZ INÁCIO LULA DA SILVA,LULA,PRESIDENTE,2018,PT,BR
ALOISIO SOUZA DA SILVA,ALOISIO LULA,DEPUTADO ESTADUAL,2018,PC do B,ES
GLEISI HELENA HOFFMANN,GLEISI LULA,DEPUTADO FEDERAL,2018,PT,PR
JOÃO LUIS PEIXOTO DA SILVA,LULA ELETRICISTA,DEPUTADO ESTADUAL,2018,PMN,RJ
LUIZ FERREIRA TÔRRES FILHO,LULA TÔRRES,DEPUTADO ESTADUAL,2018,PSDB,PE
JODISMAR ALMEIDA FRANÇA,LORINHO CELULAR,DEPUTADO ESTADUAL,2018,PSDB,RR
GIANE HERLLAIN,PROF. GIANE LULA HERLLAIN,DEPUTADO ESTADUAL,2018,PT,PR
EDUARDO DA COSTA PAIVA,EDUARDO LULA PAIVA,DEPUTADO FEDERAL,2018,PT,ES
LUIS CARLOS DA SILVA ,LULA,DEPUTADO FEDERAL,2018,PODE,RJ
LUIZ CARLOS ANDRADE MORAIS,LULA MORAIS,DEPUTADO ESTADUAL,2018,PC do B,CE
EDILAN FERREIRA RODRIGUES,EDILAN DO CELULAR,DEPUTADO FEDERAL,2018,PATRIOTA,RJ
LENEIDE DA SILVA,NEIDE DE LULA,DEPUTADO ESTADUAL,2018,PT,PB
EDIGLEY DE SOUSA ROSENDO,EDI CELULAR,DEPUTADO ESTADUAL,2018,DC,AC
CARLOS SIMÕES,CARLINHO CELULAR,DEPUTADO ESTADUAL,2018,AGIR,ES
EVERSON LEMES DA ABADIA,EVERSON LIDER CELULARES,DEPUTADO ESTADUAL,2018,SOLIDARIEDADE,GO
JORGE VIEIRA DE SOUZA,JORGE LULA VIEIRA,DEPUTADO ESTADUAL,2018,PDT,AM
LUIZ EDUARDO MONTENEGRO BENTO DE SOUZA,LULA CABRAL,DEPUTADO FEDERAL,2018,PROS,PB
