Partido,Patrimônio somado dos candidatos (R$)
PSDB,2768460825.25
MDB,2214378235.73
PP,1867683491.12
UNIÃO,1471299351.37
PL,1408327257.34
REPUBLICANOS,1251062513.12
PSD,1034627990.7
PSC,964435945.05
PODE,717429919.26
PDT,609551382.73
PSB,591352948.45
NOVO,590131761.57
AVANTE,589875707.55
PT,582841335.99
PTB,478647862.58
CIDADANIA,442037201.66
PROS,436576801.11
PATRIOTA,424196515.86
SOLIDARIEDADE,322331973.56
PMN,281007115.9
PV,253125238.01
PRTB,179724783.98
PSOL,119397108.18
REDE,116878643.44
AGIR,115962873.73
PMB,91069934.68
DC,78111244.45
PC do B,70664879.93
PSTU,30301906.1
PCB,6376455.69
UP,3919193.06
PCO,1019908.8
