Partido,Número de candidatos,Patrimônio somado dos candidatos (R$),Patrimônio médio dos candidatos (R$)
PSDB,936,2870494470.38,3066767.6
MDB,1359,2450012767.01,1802805.57
PP,1324,2098180224.4,1584728.27
PSD,1163,1805914205.22,1552806.71
NOVO,477,723381864.39,1516523.82
PSC,1047,1192759568.35,1139216.4
UNIÃO,1492,1584437325.3,1061955.31
PL,1578,1577503996.24,999685.68
CIDADANIA,475,459178565.89,966691.72
REPUBLICANOS,1424,1317182230.65,924987.52
PV,298,264909651.46,888958.56
PODE,1165,748018655.61,642076.1
AVANTE,1027,647916520.93,630882.69
PT,1105,623543345.74,564292.62
PROS,961,524461276.99,545745.35
PDT,1316,688536483.09,523204.01
PTB,1294,672139134.26,519427.46
PSB,1270,614368093.18,483754.4
PMN,802,312092356.14,389142.59
PATRIOTA,1211,451686743.65,372986.58
PC do B,218,77325750.39,354705.28
SOLIDARIEDADE,1085,350113857.58,322685.58
PRTB,904,278747348.74,308348.84
AGIR,929,278568236.4,299858.17
REDE,464,128436194.86,276802.14
DC,770,200116019.18,259890.93
PSTU,159,30513406.1,191908.21
PMB,827,155360297.03,187860.09
PSOL,904,131634097.37,145612.94
PCB,83,9527347.76,114787.32
UP,60,5468033.95,91133.9
PCO,161,8506526.69,52835.57
