muncod,Lula,Padre Kelmon,Sofia Manzano,Constituinte Eymael,Soraya Thronicke,Ciro Gomes,Vera,Simone Tebet,Jair Bolsonaro,Felipe D'Avila,Léo Péricles
ac01120,1516,6,0,0,37,117,1,192,5238,11,0
ac01570,2003,2,1,0,11,44,5,109,2694,2,0
ac01058,4171,4,4,3,53,249,2,496,9143,12,1
ac01007,2130,9,2,0,58,197,1,356,4505,5,0
ac01015,1630,0,1,0,46,120,0,264,3944,6,0
ac01074,10770,31,18,2,171,1267,6,1883,30977,72,4
ac01112,2592,6,2,0,46,142,2,377,6494,4,1
ac01139,7930,2,6,0,69,373,1,635,6191,11,2
ac01104,2213,2,2,0,6,120,1,157,1515,2,0
ac01554,2095,2,5,1,47,114,0,126,3141,3,0
ac01040,3238,3,1,0,10,225,1,433,4146,1,1
ac01090,3236,6,4,1,32,155,1,331,6469,8,1
ac01511,2442,6,1,0,43,189,0,489,6209,11,0
ac01023,2490,6,3,1,53,168,1,463,7062,12,0
ac01066,2660,6,1,0,27,214,0,451,2143,1,0
ac01392,53560,154,80,31,1314,6878,45,10522,130393,600,52
ac01082,1839,3,1,1,35,165,0,263,6551,8,0
ac01031,1357,2,0,0,26,44,0,58,1028,3,0
ac01457,5811,19,3,2,163,473,1,973,14317,23,1
ac01538,3523,3,2,1,75,349,0,654,9134,14,0
ac01473,8042,5,4,1,78,543,8,671,9146,10,0
ac01490,3774,2,3,0,44,168,1,219,5142,6,1
al27030,6234,18,3,0,45,211,3,274,1797,8,0
al27057,59431,226,41,12,730,3897,19,3938,48456,158,19
al27073,13894,42,7,1,142,422,5,964,7105,20,2
al27090,5358,9,5,0,37,171,1,292,3400,9,1
al27111,2739,9,1,0,37,146,1,198,2769,5,0
al27138,6244,9,1,0,64,197,1,345,2727,8,1
al27170,3192,3,1,0,14,86,0,159,1006,0,0
al27154,2442,4,2,0,8,51,0,187,790,3,1
al27197,7789,32,2,1,108,274,2,435,4872,15,2
al27219,4230,6,3,1,14,119,1,275,1471,2,1
al27235,4189,5,2,1,10,125,0,306,1310,7,0
al27251,6482,19,3,0,60,208,2,385,2840,7,0
al27081,2685,6,0,2,16,108,0,149,1074,2,2
al27278,11834,24,3,1,189,349,1,368,5279,18,1
al27294,5082,7,2,0,15,131,1,187,1136,1,0
al27316,7512,4,1,0,87,190,1,263,1239,4,3
al27332,5477,14,1,1,23,180,1,384,3392,7,1
al27359,3945,4,0,0,14,102,3,239,726,6,2
al27375,3193,9,1,0,19,63,0,178,909,0,1
al27391,5049,6,1,0,60,173,0,207,1109,7,1
al27413,5517,21,2,2,37,203,2,305,4190,8,3
al27430,2367,11,0,0,27,71,1,177,1300,5,0
al27456,13124,72,5,2,187,738,3,957,13580,19,2
al28894,11172,10,4,1,112,334,1,449,2625,12,1
al27472,22645,19,9,6,52,573,4,783,4486,23,3
al27499,4778,5,0,0,14,96,1,248,1399,1,1
al27049,6284,12,2,5,64,157,1,270,1077,5,1
al27510,9890,12,3,0,63,304,2,467,2657,11,0
al27537,1629,3,0,0,8,25,0,68,709,1,1
al27553,3001,20,1,0,72,142,1,173,2685,3,1
al27570,15297,20,3,0,108,454,1,491,3102,8,4
al27596,4787,11,2,0,30,192,0,300,2590,6,4
al27618,10652,24,0,1,89,231,4,443,2325,8,1
al27634,9392,12,2,0,69,219,1,441,2704,7,0
al27650,7310,3,4,1,17,163,1,329,1213,4,1
al27677,2829,1,0,1,21,63,0,104,610,4,0
al27693,2904,5,0,0,12,110,1,96,1107,2,0
al27715,2426,9,0,0,38,81,0,142,2754,3,2
al27731,2843,1,0,1,16,82,0,114,702,0,0
al27065,3064,3,1,1,24,144,0,211,2669,4,2
al27758,7065,12,8,0,45,161,2,330,2685,12,4
al27774,1899,5,2,0,18,72,0,122,1037,2,1
al27790,9073,17,4,0,118,471,1,345,4195,22,0
al27812,8047,13,4,2,87,235,4,311,2722,8,2
al27839,10502,109,3,0,59,330,0,206,2946,3,0
al27855,195714,1010,181,57,3826,15549,120,25840,240053,1438,287
al27871,7253,9,1,2,46,193,1,392,3012,8,2
al27979,1942,2,0,0,7,64,0,129,659,3,0
al27898,6966,32,3,2,97,336,5,410,8865,14,5
al27910,4282,8,0,1,24,193,0,133,1005,1,0
al27936,13719,99,9,1,210,756,11,1437,15343,46,10
al27952,4974,25,4,1,34,123,0,250,2356,4,2
al27995,9432,4,8,0,21,198,3,317,1814,4,0
al28010,5531,36,4,0,73,242,0,377,6749,11,3
al28037,5776,21,2,0,62,172,0,289,3675,5,3
al28053,2486,18,0,1,15,86,3,141,793,0,0
al28070,3008,4,2,0,23,109,1,234,783,3,0
al28096,8770,22,6,1,100,284,5,556,4630,13,3
al28118,3437,17,3,0,40,157,3,228,3075,1,0
al28134,7204,13,0,1,42,240,7,416,3652,12,1
al28150,4522,2,3,0,11,68,0,190,523,1,0
al28177,2689,2,1,0,10,48,0,137,557,0,0
al28193,5042,8,0,0,38,141,0,279,1564,1,2
al28215,5283,6,2,0,61,153,1,197,1252,4,0
al28231,2442,2,1,0,22,78,2,151,600,3,2
al28258,24549,84,13,4,180,1014,2,1204,12279,42,8
al27022,5663,5,0,0,6,129,2,207,495,3,0
al27006,3984,16,2,1,55,145,2,376,3924,12,1
al28290,5249,8,0,1,30,143,1,265,3278,4,1
al28312,3234,10,2,0,42,90,1,178,1147,6,2
al28339,18665,48,10,1,123,725,4,1013,9757,17,2
al28355,6621,6,4,0,41,193,1,289,2830,8,1
al28371,10993,35,5,2,130,434,6,978,7913,16,7
al28398,1364,3,1,0,7,34,0,50,586,0,0
al28410,10900,12,3,0,78,230,2,382,1800,6,1
al28452,6865,27,3,1,83,353,1,487,7327,5,0
al28479,2832,8,0,0,25,103,0,160,2235,2,1
al28495,9354,10,2,0,48,188,2,389,2237,4,0
al28436,6285,28,1,0,37,195,1,253,880,3,0
al28274,9991,13,5,0,39,279,4,485,2810,4,2
al28517,5252,9,3,1,49,159,0,177,1672,1,0
al28533,24603,76,9,3,294,1131,4,2046,20242,63,18
al28550,2381,9,1,0,47,90,0,126,1380,4,2
al28576,3033,3,0,0,23,73,0,170,1544,11,4
al28592,17264,22,5,0,118,552,5,793,5387,24,3
al28614,4696,30,0,1,35,160,0,167,1295,8,0
al28770,4732,17,1,2,79,245,2,416,4519,7,8
al28916,5175,8,0,0,26,122,1,304,867,7,2
al28630,3630,3,0,0,11,63,1,130,1218,1,1
al28657,7207,24,6,1,96,256,2,389,4277,3,2
al28673,11182,15,3,0,79,367,4,709,2324,10,1
al28690,8611,45,6,1,89,285,2,429,6839,8,3
al28711,15501,59,13,4,178,792,9,1182,13946,36,6
al28738,2718,13,2,1,23,115,0,173,2407,4,1
al28754,13823,20,4,1,118,440,7,443,3872,8,1
al28797,3014,3,0,0,20,58,0,120,585,0,0
al28819,7510,15,1,0,80,218,2,282,1948,8,1
al28932,12651,31,3,2,218,591,3,469,6515,20,3
al28835,9935,9,0,0,75,271,2,525,2204,7,1
al28851,19983,43,12,2,145,736,10,1071,11002,29,5
al28878,9441,22,2,0,96,281,4,535,4648,13,1
