muncod,Lula,Jair Bolsonaro
ac01120,0,0
ac01570,0,0
ac01058,0,0
ac01007,0,0
ac01015,0,0
ac01074,0,0
ac01112,0,0
ac01139,0,0
ac01104,0,0
ac01554,0,0
ac01040,0,0
ac01090,0,0
ac01511,0,0
ac01023,0,0
ac01066,0,0
ac01392,0,0
ac01082,0,0
ac01031,0,0
ac01457,0,0
ac01538,0,0
ac01473,0,0
ac01490,0,0
al27030,0,0
al27057,0,0
al27073,0,0
al27090,0,0
al27111,0,0
al27138,0,0
al27170,0,0
al27154,0,0
al27197,0,0
al27219,0,0
al27235,0,0
al27251,0,0
al27081,0,0
al27278,0,0
al27294,0,0
al27316,0,0
al27332,0,0
al27359,0,0
al27375,0,0
al27391,0,0
al27413,0,0
al27430,0,0
al27456,0,0
al28894,0,0
al27472,0,0
al27499,0,0
al27049,0,0
al27510,0,0
al27537,0,0
al27553,0,0
al27570,0,0
al27596,0,0
al27618,0,0
al27634,0,0
al27650,0,0
al27677,0,0
al27693,0,0
al27715,0,0
al27731,0,0
al27065,0,0
al27758,0,0
al27774,0,0
al27790,0,0
al27812,0,0
al27839,0,0
al27855,0,0
al27871,0,0
al27979,0,0
al27898,0,0
al27910,0,0
al27936,0,0
al27952,0,0
al27995,0,0
al28010,0,0
al28037,0,0
al28053,0,0
al28070,0,0
al28096,0,0
al28118,0,0
al28134,0,0
al28150,0,0
al28177,0,0
al28193,0,0
al28215,0,0
al28231,0,0
al28258,0,0
al27022,0,0
al27006,0,0
al28290,0,0
al28312,0,0
al28339,0,0
al28355,0,0
al28371,0,0
al28398,0,0
al28410,0,0
al28452,0,0
al28479,0,0
al28495,0,0
al28436,0,0
al28274,0,0
al28517,0,0
al28533,0,0
al28550,0,0
al28576,0,0
al28592,0,0
al28614,0,0
al28770,0,0
al28916,0,0
al28630,0,0
al28657,0,0
al28673,0,0
al28690,0,0
al28711,0,0
al28738,0,0
al28754,0,0
al28797,0,0
al28819,0,0
al28932,0,0
al28835,0,0
al28851,0,0
al28878,0,0
al27014,0,0
